Part of speech,Rank,English translation,Russian word
conjunction,1.,"and, though",и 
preposition,2. ,"in, at",в 
particle,3. ,not,не 
pronoun,4. ,he,он 
preposition,5. ,"on, it, at, to",на 
pronoun,6. ,I,я 
"сonjunction, pronoun",7. ,"what, that, why",что 
"adjective, pronoun",8. ,that,тот 
verb,9. ,to be,быть 
preposition,10. ,"with, and, from, of",с 
conjunction,11. ,"while, and, but",а 
"pron, noun",12. ,"all, everything",весь 
pronoun,13. ,"that, this, it",это 
"adverb, conj",14. ,"how, what, as, like",как 
pronoun,15. ,she,она 
preposition,16. ,"on, along, by",по 
"conjunction, noun",17. ,but,но 
pronoun,18. ,they,они 
preposition,19. ,"to, for, by",к 
preposition,20. ,"by, with, of",у 
pronoun,21. ,"you, thou",ты 
preposition,22. ,"from, of, in",из 
pronoun,23. ,we,мы 
preposition,24. ,"behind, over, at, after",за 
pronoun,25. ,you,вы 
adverb,26. ,"so, thus, then",так 
"conj, particle",27. ,"and, as for, but, same",же 
preposition,28. ,"from, of, for",от 
verb,29. ,"to say, to speak",сказать 
pronoun,30. ,this,этот 
pronoun,31. ,"which, who, that",который 
verb,32. ,be able,мочь 
noun,33. ,"man, person",человек 
preposition,34. ,"of, about, against",о 
"cardinal number, pronoun",35. ,"one, some, alone",один 
adverb,36. ,"still, yet",ещё 
particle,37. ,would,бы 
pronoun,38. ,"such, so, some",такой 
"adverb, conj",39. ,"only, merely, but",только 
"pron, particle",40. ,"myself, himself, herself",себя 
"pronoun, noun",41. ,"one's own, my, our",своё 
pronoun,42. ,"what, which, how",какой 
"adverb, conj",43. ,"when, while, as",когда 
adverb,44. ,"already, by now",уже 
preposition,45. ,"for, to",для 
particle,46. ,"here, there, this is, that's",вот 
pronoun,47. ,"who, that, some",кто 
"conj, particle",48. ,"yes, but",да 
verb,49. ,"to say, to tell, to speak",говорить 
noun,50. ,year,год 
Part of speech,Rank ,English translation  ,Russian word  
verb,51. ,"to know, be aware","
знать "
pronoun,52. ,"my, mine",мой 
preposition,53. ,"to, up to, about, before",до 
conjunction,54. ,or,или 
conjunction,55. ,if,если 
noun,56. ,"time, season",время 
noun,57. ,"hand, arm",рука 
negation,58. ,"no, not, but",нет 
pronoun,59. ,"most, the very, the same",самый 
"conj, particle",60. ,"not a, not, neither… nor",ни 
verb,61. ,"to become, begin, come",стать 
adjective,62. ,"big, large, important",большой 
particle,63. ,even,даже 
pronoun,64. ,"other, another, different",другой 
pronoun,65. ,"our, ours",наш 
pronoun,66. ,"my, our, your",свой 
